JDBC time:1514870, Search Servlet time:1787772
JDBC time:1344029, Search Servlet time:1637669
JDBC time:1439808, Search Servlet time:1735934
JDBC time:1656248, Search Servlet time:1953455
JDBC time:1490671, Search Servlet time:1775911
JDBC time:1701586, Search Servlet time:1984465
JDBC time:5042876, Search Servlet time:5330279
JDBC time:4732683, Search Servlet time:5016264
JDBC time:1402233, Search Servlet time:1687381
JDBC time:1769119, Search Servlet time:2043517
JDBC time:1894389, Search Servlet time:2219571
JDBC time:1460029, Search Servlet time:1726774
JDBC time:1588380, Search Servlet time:1870584
JDBC time:1506555, Search Servlet time:1778362
JDBC time:1415090, Search Servlet time:1703086
JDBC time:2312686, Search Servlet time:2587044
JDBC time:1681209, Search Servlet time:1946276
JDBC time:1872435, Search Servlet time:2142880
JDBC time:1518513, Search Servlet time:1818756
JDBC time:1571162, Search Servlet time:1900390
JDBC time:1542207, Search Servlet time:1851222
JDBC time:1623533, Search Servlet time:1905095
JDBC time:1499240, Search Servlet time:1788521
JDBC time:1697110, Search Servlet time:1980211
JDBC time:3560886, Search Servlet time:3842686
JDBC time:3772115, Search Servlet time:4057802
JDBC time:1845818, Search Servlet time:2129825
JDBC time:6170831, Search Servlet time:6451646
JDBC time:3817727, Search Servlet time:4121808
JDBC time:1393670, Search Servlet time:1696048
JDBC time:1474429, Search Servlet time:1762207
JDBC time:1497017, Search Servlet time:1816615
JDBC time:1823999, Search Servlet time:2131626
JDBC time:1469150, Search Servlet time:1748871
JDBC time:1428688, Search Servlet time:1719722
JDBC time:1557621, Search Servlet time:1865584
JDBC time:2243732, Search Servlet time:2544779
JDBC time:1454395, Search Servlet time:1736646
JDBC time:1692326, Search Servlet time:1977384
JDBC time:1678390, Search Servlet time:1972693
JDBC time:1439641, Search Servlet time:1722078
JDBC time:1554934, Search Servlet time:1821305
JDBC time:1524014, Search Servlet time:1838787
JDBC time:1545884, Search Servlet time:1832175
JDBC time:1791310, Search Servlet time:2079551
JDBC time:1880344, Search Servlet time:2166631
JDBC time:1403960, Search Servlet time:1686029
JDBC time:1524389, Search Servlet time:1819312
JDBC time:1440436, Search Servlet time:1719853
JDBC time:1757840, Search Servlet time:2032590
JDBC time:1731225, Search Servlet time:2014888
JDBC time:1346355, Search Servlet time:1662946
JDBC time:1892937, Search Servlet time:2192852
JDBC time:1979086, Search Servlet time:2279347
JDBC time:1478488, Search Servlet time:1770576
JDBC time:1358491, Search Servlet time:1647417
JDBC time:1450019, Search Servlet time:1727889
JDBC time:1639671, Search Servlet time:1928619
JDBC time:1519220, Search Servlet time:1847768
JDBC time:1801776, Search Servlet time:2136971
JDBC time:1690136, Search Servlet time:1989596
JDBC time:1493446, Search Servlet time:1781819
JDBC time:1416256, Search Servlet time:1735135
JDBC time:1570909, Search Servlet time:1978301
JDBC time:1803119, Search Servlet time:2102068
JDBC time:1488633, Search Servlet time:1781253
JDBC time:1473567, Search Servlet time:1744650
JDBC time:1442368, Search Servlet time:1741069
JDBC time:1750477, Search Servlet time:2050829
JDBC time:1877426, Search Servlet time:2164587
JDBC time:1737175, Search Servlet time:2013031
JDBC time:1565326, Search Servlet time:1862396
JDBC time:1863076, Search Servlet time:2144856
JDBC time:1601365, Search Servlet time:1900017
JDBC time:2116630, Search Servlet time:2610903
JDBC time:1545716, Search Servlet time:1845028
JDBC time:1349362, Search Servlet time:1639108
JDBC time:1703018, Search Servlet time:2023347
JDBC time:2140547, Search Servlet time:2431720
JDBC time:2042660, Search Servlet time:2373163
JDBC time:1636931, Search Servlet time:1943101
JDBC time:1640335, Search Servlet time:1913101
JDBC time:1391140, Search Servlet time:1703908
JDBC time:1692276, Search Servlet time:1975306
JDBC time:1862491, Search Servlet time:2139890
JDBC time:5065480, Search Servlet time:5353746
JDBC time:1845107, Search Servlet time:2159319
JDBC time:1428273, Search Servlet time:1710985
