JDBC time: 32672857, Servlet time: 32696670
JDBC time: 32953596, Servlet time: 33009704
JDBC time: 43699105, Servlet time: 43729059
JDBC time: 45561724, Servlet time: 45608489
JDBC time: 10022498, Servlet time: 10083879
JDBC time: 35463857, Servlet time: 35494230
JDBC time: 37917070, Servlet time: 37944136
JDBC time: 40384157, Servlet time: 40406981
JDBC time: 47969340, Servlet time: 48035689
JDBC time: 43718974, Servlet time: 43740614
JDBC time: 35990805, Servlet time: 36014294
JDBC time: 36450483, Servlet time: 36472901
JDBC time: 37204779, Servlet time: 37229736
JDBC time: 42990997, Servlet time: 43035475
JDBC time: 38071788, Servlet time: 38092552
JDBC time: 53431807, Servlet time: 53456670
JDBC time: 54321927, Servlet time: 54345951
JDBC time: 53721683, Servlet time: 53749452
JDBC time: 56264151, Servlet time: 56286008
JDBC time: 62561950, Servlet time: 62699444
JDBC time: 38427145, Servlet time: 38450794
JDBC time: 41593770, Servlet time: 41627435
JDBC time: 41836075, Servlet time: 41858090
JDBC time: 44850822, Servlet time: 44873075
JDBC time: 46897764, Servlet time: 46944812
JDBC time: 45209143, Servlet time: 45236744
JDBC time: 47201129, Servlet time: 47221731
JDBC time: 48107419, Servlet time: 48128921
JDBC time: 58061373, Servlet time: 58104544
JDBC time: 57221430, Servlet time: 57243105
JDBC time: 18932044, Servlet time: 18988738
JDBC time: 13383508, Servlet time: 13410917
JDBC time: 13126370, Servlet time: 13162899
JDBC time: 17322671, Servlet time: 17344529
JDBC time: 17917164, Servlet time: 17961065
JDBC time: 68116718, Servlet time: 68136512
JDBC time: 68968692, Servlet time: 68990489
JDBC time: 71032975, Servlet time: 71055902
JDBC time: 73400874, Servlet time: 73422221
JDBC time: 74583198, Servlet time: 74605714
JDBC time: 78216979, Servlet time: 78239102
JDBC time: 82687469, Servlet time: 82734642
JDBC time: 76061104, Servlet time: 76086253
JDBC time: 43443397, Servlet time: 43486659
JDBC time: 45358996, Servlet time: 45382548
JDBC time: 70019830, Servlet time: 70039049
JDBC time: 72180613, Servlet time: 72207007
JDBC time: 77194872, Servlet time: 77218139
JDBC time: 77315362, Servlet time: 77337670
JDBC time: 81816860, Servlet time: 81838933
JDBC time: 81522905, Servlet time: 81542898
JDBC time: 89778764, Servlet time: 89831783
JDBC time: 88021031, Servlet time: 88043902
JDBC time: 93979026, Servlet time: 94003217
JDBC time: 94565536, Servlet time: 94587881
JDBC time: 76247344, Servlet time: 76269806
JDBC time: 75703868, Servlet time: 75728157
JDBC time: 76669252, Servlet time: 76691574
JDBC time: 75272781, Servlet time: 78044168
JDBC time: 79084835, Servlet time: 79119851
JDBC time: 70802197, Servlet time: 70829291
JDBC time: 92661416, Servlet time: 92706794
JDBC time: 86774331, Servlet time: 86797151
JDBC time: 89168832, Servlet time: 89190958
JDBC time: 71888947, Servlet time: 71914812
JDBC time: 17039479, Servlet time: 17086560
JDBC time: 17092429, Servlet time: 17114052
JDBC time: 51351057, Servlet time: 51397279
JDBC time: 54891292, Servlet time: 54913163
