JDBC time:1805912, Search Servlet time:1918366
JDBC time:4660210, Search Servlet time:925820
JDBC time:3469641, Search Servlet time:1501939
JDBC time:7398954, Search Servlet time:1884393
JDBC time:4091606, Search Servlet time:4221368
JDBC time:1693357, Search Servlet time:1882260
JDBC time:4097041, Search Servlet time:2467724
JDBC time:6138123, Search Servlet time:2935375
JDBC time:8218142, Search Servlet time:4275628
JDBC time:6081419, Search Servlet time:4633460
JDBC time:4966348, Search Servlet time:5073814
JDBC time:8904814, Search Servlet time:5489655
JDBC time:2814521, Search Servlet time:6707266
JDBC time:3612762, Search Servlet time:777777
JDBC time:2721100, Search Servlet time:2838816
JDBC time:6977713, Search Servlet time:3419737
JDBC time:6575960, Search Servlet time:6186486
JDBC time:2543408, Search Servlet time:850576
JDBC time:4140623, Search Servlet time:3197780
JDBC time:4049877, Search Servlet time:761818
JDBC time:2482354, Search Servlet time:2587728
JDBC time:2051639, Search Servlet time:2273961
JDBC time:2545022, Search Servlet time:2659946
JDBC time:4738021, Search Servlet time:3171721
JDBC time:4811837, Search Servlet time:3517988
JDBC time:2048392, Search Servlet time:2254549
JDBC time:1384966, Search Servlet time:1518629
JDBC time:3025110, Search Servlet time:2746699
JDBC time:3016607, Search Servlet time:3128928
JDBC time:1918677, Search Servlet time:2154992
JDBC time:1282900, Search Servlet time:1415506
JDBC time:1400245, Search Servlet time:1520340
JDBC time:3706301, Search Servlet time:2101889
JDBC time:2064737, Search Servlet time:2342537
JDBC time:1493121, Search Servlet time:1604548
JDBC time:2751861, Search Servlet time:2887737
JDBC time:5405480, Search Servlet time:3358328
JDBC time:1924913, Search Servlet time:2131803
JDBC time:1125533, Search Servlet time:1236281
JDBC time:1662486, Search Servlet time:1829437
JDBC time:3619671, Search Servlet time:2227758
JDBC time:2012421, Search Servlet time:2494969
JDBC time:4191057, Search Servlet time:2641873
JDBC time:2538388, Search Servlet time:2699099
JDBC time:5789767, Search Servlet time:4222415
JDBC time:3829575, Search Servlet time:2122496
JDBC time:1513524, Search Servlet time:2328351
JDBC time:6223506, Search Servlet time:1939025
JDBC time:4048859, Search Servlet time:4168179
JDBC time:4171991, Search Servlet time:4337142
JDBC time:12783309, Search Servlet time:9148538
JDBC time:4466083, Search Servlet time:4369253
JDBC time:4674125, Search Servlet time:4769307
JDBC time:3311366, Search Servlet time:3565390
JDBC time:1549154, Search Servlet time:1692496
JDBC time:1498095, Search Servlet time:1639084
JDBC time:4003300, Search Servlet time:2164809
JDBC time:3035726, Search Servlet time:3243530
JDBC time:1447155, Search Servlet time:1563533
JDBC time:4725138, Search Servlet time:826205
JDBC time:2658763, Search Servlet time:2771717
JDBC time:1945902, Search Servlet time:2159340
JDBC time:1526922, Search Servlet time:1737065
JDBC time:7006929, Search Servlet time:6757767
JDBC time:15002100, Search Servlet time:15200581
JDBC time:2468902, Search Servlet time:2653258
JDBC time:1931125, Search Servlet time:2110476
JDBC time:8529515, Search Servlet time:13392699
JDBC time:36178314, Search Servlet time:18662267
JDBC time:2684869, Search Servlet time:2903842
JDBC time:1878240, Search Servlet time:2089788
JDBC time:2820597, Search Servlet time:3052060
JDBC time:25061179, Search Servlet time:25250343
JDBC time:2463117, Search Servlet time:2670343
JDBC time:15423819, Search Servlet time:15641744
JDBC time:2020393, Search Servlet time:2229956
JDBC time:2493026, Search Servlet time:2670907
JDBC time:1973062, Search Servlet time:2116527
JDBC time:4142366, Search Servlet time:4332092
JDBC time:2329097, Search Servlet time:2535445
JDBC time:1903094, Search Servlet time:2110585
JDBC time:2091352, Search Servlet time:2241270
JDBC time:2557925, Search Servlet time:2773427
JDBC time:1988224, Search Servlet time:2214212
JDBC time:2433701, Search Servlet time:2628200
JDBC time:1965143, Search Servlet time:2166097
JDBC time:14590029, Search Servlet time:14806536
JDBC time:1805907, Search Servlet time:1990320
JDBC time:1880343, Search Servlet time:2068229
JDBC time:1789247, Search Servlet time:1962887
JDBC time:2110078, Search Servlet time:2606251
JDBC time:2112696, Search Servlet time:2293660
JDBC time:2351604, Search Servlet time:2551849
JDBC time:2025495, Search Servlet time:2197659
