JDBC time:1361361, Search Servlet time:1466935
JDBC time:1308886, Search Servlet time:1399836
JDBC time:1620434, Search Servlet time:1716649
JDBC time:3234404, Search Servlet time:2002986
JDBC time:5346683, Search Servlet time:5436198
JDBC time:1346345, Search Servlet time:1413014
JDBC time:1664280, Search Servlet time:1774360
JDBC time:1380137, Search Servlet time:1472609
JDBC time:1734208, Search Servlet time:1828184
JDBC time:1875692, Search Servlet time:1959414
JDBC time:2488652, Search Servlet time:2331989
JDBC time:2615219, Search Servlet time:2665135
JDBC time:4191178, Search Servlet time:3705612
JDBC time:1139109, Search Servlet time:1215496
JDBC time:3802459, Search Servlet time:3039336
JDBC time:3273636, Search Servlet time:3321039
JDBC time:2795284, Search Servlet time:2588125
JDBC time:2815139, Search Servlet time:2858063
JDBC time:1479218, Search Servlet time:1576664
JDBC time:1135436, Search Servlet time:1201809
JDBC time:1393533, Search Servlet time:1492195
JDBC time:1165391, Search Servlet time:1225402
JDBC time:960716, Search Servlet time:1022023
JDBC time:3367682, Search Servlet time:3428153
JDBC time:3608802, Search Servlet time:3698203
JDBC time:5566142, Search Servlet time:5304841
JDBC time:1504974, Search Servlet time:1603159
JDBC time:4025017, Search Servlet time:4132158
JDBC time:1269330, Search Servlet time:1359114
JDBC time:1026924, Search Servlet time:1090675
JDBC time:1591610, Search Servlet time:368313
JDBC time:1801993, Search Servlet time:1856669
JDBC time:1444639, Search Servlet time:1531707
JDBC time:996894, Search Servlet time:1044270
JDBC time:2235058, Search Servlet time:361336
JDBC time:1488758, Search Servlet time:1547244
JDBC time:1410186, Search Servlet time:1508550
JDBC time:2165395, Search Servlet time:1978978
JDBC time:2358485, Search Servlet time:265977
JDBC time:1151759, Search Servlet time:1201800
JDBC time:1621811, Search Servlet time:1719652
JDBC time:1505238, Search Servlet time:1597041
JDBC time:1604576, Search Servlet time:1723669
JDBC time:2136457, Search Servlet time:2227569
JDBC time:2407217, Search Servlet time:953970
JDBC time:1172688, Search Servlet time:1226038
JDBC time:4457986, Search Servlet time:1431096
JDBC time:1772116, Search Servlet time:1880197
JDBC time:978599, Search Servlet time:1041618
JDBC time:1151590, Search Servlet time:1198102
JDBC time:1898000, Search Servlet time:1993447
JDBC time:1488306, Search Servlet time:1546970
JDBC time:1904870, Search Servlet time:2000964
JDBC time:1010913, Search Servlet time:1064847
JDBC time:1359528, Search Servlet time:1463099
JDBC time:1224969, Search Servlet time:1311893
JDBC time:1624369, Search Servlet time:1765830
JDBC time:4159665, Search Servlet time:4236941
JDBC time:6869953, Search Servlet time:5235022
JDBC time:996577, Search Servlet time:1047817
JDBC time:1342054, Search Servlet time:1440919
JDBC time:1344020, Search Servlet time:1431562
JDBC time:1757200, Search Servlet time:1842185
JDBC time:1016764, Search Servlet time:1060576
JDBC time:1272194, Search Servlet time:1387204
JDBC time:1343241, Search Servlet time:1431875
JDBC time:1491167, Search Servlet time:1585306
JDBC time:1749449, Search Servlet time:1853953
JDBC time:1484014, Search Servlet time:1559654
JDBC time:1144352, Search Servlet time:1192738
JDBC time:1165639, Search Servlet time:1220296
JDBC time:1696373, Search Servlet time:1817653
JDBC time:1616725, Search Servlet time:1706498
JDBC time:1671485, Search Servlet time:1775192
JDBC time:1511694, Search Servlet time:1605259
JDBC time:1539687, Search Servlet time:1633944
JDBC time:1507252, Search Servlet time:1586234
JDBC time:1971625, Search Servlet time:2063972
JDBC time:2075815, Search Servlet time:2160994
JDBC time:1729609, Search Servlet time:1824881
JDBC time:1406538, Search Servlet time:1499947
JDBC time:1530620, Search Servlet time:1628898
JDBC time:1272382, Search Servlet time:1328213
JDBC time:2408587, Search Servlet time:420665
JDBC time:5232443, Search Servlet time:5283215
JDBC time:1535973, Search Servlet time:1629189
JDBC time:1345734, Search Servlet time:1437840
JDBC time:2070332, Search Servlet time:2169605
JDBC time:1541419, Search Servlet time:1635355
JDBC time:933134, Search Servlet time:1000351
JDBC time:2437510, Search Servlet time:2531626
JDBC time:1198522, Search Servlet time:1251407
JDBC time:1861115, Search Servlet time:374918
JDBC time:2814518, Search Servlet time:2869666
JDBC time:3341290, Search Servlet time:3155793
JDBC time:1595146, Search Servlet time:1687834
JDBC time:1719188, Search Servlet time:386987
JDBC time:1773192, Search Servlet time:1824732
JDBC time:2162657, Search Servlet time:2246733
JDBC time:1015541, Search Servlet time:1093487
JDBC time:2084733, Search Servlet time:2173044
JDBC time:1572957, Search Servlet time:1644954
JDBC time:2056401, Search Servlet time:2137603
JDBC time:3173415, Search Servlet time:2912802
JDBC time:5046775, Search Servlet time:5138028
JDBC time:1173622, Search Servlet time:1755857
JDBC time:1066755, Search Servlet time:1165389
JDBC time:3002101, Search Servlet time:1471051
JDBC time:1255715, Search Servlet time:1344654
JDBC time:2480149, Search Servlet time:2583545
JDBC time:2902012, Search Servlet time:1312231
JDBC time:1521205, Search Servlet time:1572015
JDBC time:1064264, Search Servlet time:1113224
JDBC time:1239851, Search Servlet time:1338088
JDBC time:1494074, Search Servlet time:1582385
JDBC time:1407940, Search Servlet time:1504402
JDBC time:1648824, Search Servlet time:1754681
JDBC time:875096, Search Servlet time:932303
JDBC time:1103401, Search Servlet time:1180846
JDBC time:3210660, Search Servlet time:1570538
JDBC time:1372135, Search Servlet time:1470796
JDBC time:1373755, Search Servlet time:1469968
JDBC time:1920675, Search Servlet time:2004352
JDBC time:1714724, Search Servlet time:1815158
JDBC time:1392655, Search Servlet time:1483074
JDBC time:1270772, Search Servlet time:1326190
JDBC time:1417932, Search Servlet time:1529835
JDBC time:990451, Search Servlet time:1083114
JDBC time:1126481, Search Servlet time:1186629
JDBC time:1443415, Search Servlet time:1538772
JDBC time:1735220, Search Servlet time:1831050
JDBC time:1490255, Search Servlet time:1543290
JDBC time:1432059, Search Servlet time:1525583
JDBC time:1442325, Search Servlet time:1559144
JDBC time:1361745, Search Servlet time:1453509
JDBC time:883289, Search Servlet time:932401
JDBC time:1030927, Search Servlet time:1097731
JDBC time:1415857, Search Servlet time:1548952
JDBC time:1649862, Search Servlet time:1742082
JDBC time:1375440, Search Servlet time:1468473
JDBC time:1449510, Search Servlet time:1545874
JDBC time:948167, Search Servlet time:996963
JDBC time:1559958, Search Servlet time:1705540
JDBC time:1272177, Search Servlet time:1368408
JDBC time:4656016, Search Servlet time:397896
JDBC time:2443952, Search Servlet time:2228239
JDBC time:2418275, Search Servlet time:2473210
JDBC time:1541782, Search Servlet time:1637839
JDBC time:1071502, Search Servlet time:1125604
JDBC time:853352, Search Servlet time:913063
JDBC time:1526629, Search Servlet time:1635600
JDBC time:1714159, Search Servlet time:1804253
JDBC time:1605374, Search Servlet time:1698062
JDBC time:1154392, Search Servlet time:1205823
JDBC time:2781251, Search Servlet time:1476095
JDBC time:1680549, Search Servlet time:1725548
JDBC time:1565451, Search Servlet time:1655325
JDBC time:1284442, Search Servlet time:1368484
JDBC time:1406350, Search Servlet time:1506757
JDBC time:1608918, Search Servlet time:1699799
JDBC time:2058198, Search Servlet time:2155023
JDBC time:3634805, Search Servlet time:3737501
JDBC time:2355671, Search Servlet time:2454659
JDBC time:1211922, Search Servlet time:1279843
JDBC time:885649, Search Servlet time:936513
JDBC time:1682900, Search Servlet time:1783471
JDBC time:1287013, Search Servlet time:1384278
JDBC time:3080148, Search Servlet time:3174995
JDBC time:1471341, Search Servlet time:1574063
JDBC time:1757502, Search Servlet time:1851603
JDBC time:1416010, Search Servlet time:1505182
JDBC time:2187878, Search Servlet time:2359763
JDBC time:1006653, Search Servlet time:1064079
JDBC time:1660804, Search Servlet time:1757207
JDBC time:1873906, Search Servlet time:1993420
JDBC time:1403249, Search Servlet time:1506372
JDBC time:1309709, Search Servlet time:1403114
JDBC time:1907072, Search Servlet time:1968107
JDBC time:1292841, Search Servlet time:1394801
JDBC time:2719855, Search Servlet time:2487371
JDBC time:1445915, Search Servlet time:1540956
JDBC time:1482606, Search Servlet time:1582901
JDBC time:1512023, Search Servlet time:1601522
JDBC time:1611604, Search Servlet time:1711788
JDBC time:1726068, Search Servlet time:1818608
JDBC time:1621959, Search Servlet time:1715616
JDBC time:1542082, Search Servlet time:1639718
JDBC time:1311831, Search Servlet time:1408139
JDBC time:1626591, Search Servlet time:1745508
JDBC time:1249480, Search Servlet time:1362170
JDBC time:1287721, Search Servlet time:1389967
JDBC time:1495815, Search Servlet time:1582438
JDBC time:1168025, Search Servlet time:1222752
JDBC time:1601099, Search Servlet time:1690179
JDBC time:1409455, Search Servlet time:1466907
JDBC time:1706943, Search Servlet time:1791002
JDBC time:987777, Search Servlet time:1044032
JDBC time:1708693, Search Servlet time:2424030
JDBC time:1769450, Search Servlet time:1866555
JDBC time:1308879, Search Servlet time:1408162
JDBC time:1632649, Search Servlet time:1728302
JDBC time:1534736, Search Servlet time:1608533
JDBC time:1401664, Search Servlet time:1485972
JDBC time:1406012, Search Servlet time:1500820
JDBC time:1273675, Search Servlet time:1332440
JDBC time:1354240, Search Servlet time:1460104
JDBC time:2678313, Search Servlet time:1300517
JDBC time:1538732, Search Servlet time:1586812
JDBC time:1251770, Search Servlet time:1341669
JDBC time:2870074, Search Servlet time:1596458
JDBC time:991378, Search Servlet time:1060450
JDBC time:1215131, Search Servlet time:1312319
JDBC time:1800533, Search Servlet time:1890575
JDBC time:1580446, Search Servlet time:1681372
JDBC time:11117448, Search Servlet time:11213250
JDBC time:1553979, Search Servlet time:1642051
JDBC time:3019006, Search Servlet time:3097798
JDBC time:6500243, Search Servlet time:6273860
JDBC time:2246354, Search Servlet time:2336469
JDBC time:5173542, Search Servlet time:4741187
JDBC time:6548603, Search Servlet time:5792555
JDBC time:1713762, Search Servlet time:1799694
JDBC time:1989975, Search Servlet time:2069453
JDBC time:3385826, Search Servlet time:3131125
JDBC time:4841734, Search Servlet time:4090701
JDBC time:1742648, Search Servlet time:1836310
JDBC time:1474236, Search Servlet time:1555326
JDBC time:11424160, Search Servlet time:10912467
JDBC time:1388886, Search Servlet time:1489599
JDBC time:2820337, Search Servlet time:2717568
JDBC time:2976978, Search Servlet time:3022344
JDBC time:4609334, Search Servlet time:4113675
JDBC time:1954297, Search Servlet time:2063024
