JDBC time:1588440, Search Servlet time:1699918
JDBC time:1378600, Search Servlet time:1497366
JDBC time:1428311, Search Servlet time:1589821
JDBC time:1450706, Search Servlet time:1556976
JDBC time:1479899, Search Servlet time:1583636
JDBC time:1701184, Search Servlet time:1811581
JDBC time:5483794, Search Servlet time:5590132
JDBC time:1687826, Search Servlet time:1784077
JDBC time:1434213, Search Servlet time:1549757
JDBC time:1695744, Search Servlet time:1812231
JDBC time:1799885, Search Servlet time:1918091
JDBC time:1409907, Search Servlet time:1509386
JDBC time:1697369, Search Servlet time:1788773
JDBC time:1326821, Search Servlet time:1412481
JDBC time:1343124, Search Servlet time:1435355
JDBC time:2172235, Search Servlet time:2324203
JDBC time:1565087, Search Servlet time:1660880
JDBC time:1621990, Search Servlet time:1714755
JDBC time:1456407, Search Servlet time:1582168
JDBC time:1451704, Search Servlet time:1555553
JDBC time:1382412, Search Servlet time:1469100
JDBC time:1229756, Search Servlet time:1325475
JDBC time:1441865, Search Servlet time:1563959
JDBC time:1680977, Search Servlet time:1781759
JDBC time:3671458, Search Servlet time:3754437
JDBC time:3637731, Search Servlet time:3723623
JDBC time:1782415, Search Servlet time:1874492
JDBC time:1476378, Search Servlet time:1577187
JDBC time:3590824, Search Servlet time:3686434
JDBC time:1390638, Search Servlet time:1491945
JDBC time:1450158, Search Servlet time:1545216
JDBC time:1208027, Search Servlet time:1295523
JDBC time:2015529, Search Servlet time:2117038
JDBC time:1534239, Search Servlet time:1656270
JDBC time:1382113, Search Servlet time:1474989
JDBC time:1372473, Search Servlet time:1471177
JDBC time:2154334, Search Servlet time:2276131
JDBC time:1505613, Search Servlet time:1610159
JDBC time:1672777, Search Servlet time:1772987
JDBC time:1425995, Search Servlet time:1538175
JDBC time:1389376, Search Servlet time:1495636
JDBC time:1526102, Search Servlet time:1627700
JDBC time:1439370, Search Servlet time:1546128
JDBC time:1619200, Search Servlet time:1724091
JDBC time:1761981, Search Servlet time:1860621
JDBC time:1660308, Search Servlet time:1772704
JDBC time:1330825, Search Servlet time:1440770
JDBC time:1419397, Search Servlet time:1527176
JDBC time:1381077, Search Servlet time:1476483
JDBC time:1824370, Search Servlet time:1928338
JDBC time:1762160, Search Servlet time:1861278
JDBC time:1332359, Search Servlet time:1432389
JDBC time:1833773, Search Servlet time:1957743
JDBC time:1931375, Search Servlet time:2065488
JDBC time:1322828, Search Servlet time:1422128
JDBC time:1386030, Search Servlet time:1483403
JDBC time:1342688, Search Servlet time:1447673
JDBC time:1606542, Search Servlet time:1713650
JDBC time:1463725, Search Servlet time:1563287
JDBC time:1601948, Search Servlet time:1695505
JDBC time:1630664, Search Servlet time:1742250
JDBC time:1472944, Search Servlet time:1580816
JDBC time:1394653, Search Servlet time:1499992
JDBC time:1401918, Search Servlet time:1532728
JDBC time:1664246, Search Servlet time:1767763
JDBC time:1705417, Search Servlet time:1856546
JDBC time:1337353, Search Servlet time:1439503
JDBC time:1557901, Search Servlet time:1668152
JDBC time:1701341, Search Servlet time:1798769
JDBC time:1770676, Search Servlet time:1881024
JDBC time:1726241, Search Servlet time:1871007
JDBC time:1611226, Search Servlet time:1763663
JDBC time:1740474, Search Servlet time:1827032
JDBC time:1504244, Search Servlet time:1595669
JDBC time:1661746, Search Servlet time:1767276
JDBC time:1472057, Search Servlet time:1568006
JDBC time:1331217, Search Servlet time:1444468
JDBC time:1667479, Search Servlet time:1779281
JDBC time:2009521, Search Servlet time:2106464
JDBC time:2031540, Search Servlet time:2137260
JDBC time:1635934, Search Servlet time:1732920
JDBC time:1501504, Search Servlet time:1622479
JDBC time:1444415, Search Servlet time:1556789
JDBC time:1656574, Search Servlet time:1771888
JDBC time:1728711, Search Servlet time:1840725
JDBC time:5471078, Search Servlet time:5567976
JDBC time:1621362, Search Servlet time:1712692
JDBC time:1342924, Search Servlet time:1426918
JDBC time:2052069, Search Servlet time:2166279
JDBC time:1530807, Search Servlet time:1640658
JDBC time:1323981, Search Servlet time:1412129
JDBC time:1691820, Search Servlet time:1789424
JDBC time:1716735, Search Servlet time:1837964
JDBC time:1822800, Search Servlet time:1923978
JDBC time:1489837, Search Servlet time:1595798
JDBC time:1581429, Search Servlet time:1684285
JDBC time:1422326, Search Servlet time:1521354
JDBC time:1833639, Search Servlet time:1935947
JDBC time:1196938, Search Servlet time:1298936
JDBC time:1979757, Search Servlet time:2063624
JDBC time:1562576, Search Servlet time:1666057
JDBC time:2141900, Search Servlet time:2237825
JDBC time:2032824, Search Servlet time:2128410
JDBC time:1941264, Search Servlet time:2044587
JDBC time:1407040, Search Servlet time:1501183
JDBC time:1289990, Search Servlet time:1393357
JDBC time:1471718, Search Servlet time:1579959
